category;area
city;Aberdeen City
city;Belfast
city;Birmingham
city;Bristol, City of
city;Cambridge
city;Cardiff
city;City of Edinburgh
city;City of London
city;Dundee City
city;Glasgow City
city;Leeds
city;Leicester
city;Liverpool
city;Manchester
city;Newcastle upon Tyne
city;Oxford
city;Peterborough
city;Plymouth
city;Portsmouth
city;Southampton
city;Stoke-on-Trent
city;Sunderland
city;Wolverhampton
city;Worcester
county and council;Aberdeenshire
county and council;Angus
county and council;Ards and North Down
county and council;Argyll and Bute
county and council;Buckinghamshire
county and council;Caerphilly
county and council;Calderdale
county and council;Carmarthenshire
county and council;Cheshire East
county and council;Cheshire West and Chester
county and council;Cornwall
county and council;County Durham
county and council;Dorset
county and council;Dumfries and Galloway
county and council;East Ayrshire
county and council;East Dunbartonshire
county and council;East Hertfordshire
county and council;East Lothian
county and council;East Renfrewshire
county and council;East Riding of Yorkshire
county and council;East Suffolk
county and council;Fermanagh and Omagh
county and council;Fife
county and council;Flintshire
county and council;Gwynedd
county and council;Highland
county and council;Isle of Anglesey
county and council;Isle of Wight
county and council;Lincolnshire
county and council;Lisburn and Castlereagh
county and council;Mid and East Antrim
county and council;Mid Ulster
county and council;Moray
county and council;Neath Port Talbot
county and council;North Ayrshire
county and council;North East Derbyshire
county and council;North East Lincolnshire
county and council;North Lanarkshire
county and council;North Lincolnshire
county and council;North Somerset
county and council;Northumberland
county and council;Pembrokeshire
county and council;Perth and Kinross
county and council;Powys
county and council;Renfrewshire
county and council;Rhondda Cynon Taf
county and council;Scottish Borders
county and council;Shropshire
county and council;South Ayrshire
county and council;South Lanarkshire
county and council;South Norfolk
county and council;South Tyneside
county and council;Staffordshire
county and council;Suffolk
county and council;Surrey
county and council;West Dunbartonshire
county and council;West Lothian
county and council;Wiltshire
county and council;Wrexham
city council or hybrid area;Bournemouth, Christchurch and Poole
city council or hybrid area;Central Bedfordshire
city council or hybrid area;Herefordshire, County of
city council or hybrid area;Kingston upon Hull, City of
city council or hybrid area;Luton
city council or hybrid area;Medway
city council or hybrid area;Milton Keynes
city council or hybrid area;Reading
city council or hybrid area;West Berkshire
city council or hybrid area;Windsor and Maidenhead
